A8O17_RS05005,locus_tag.d6,start,end,strand,locus_tag.168
NZ_CP015975.1,A8O17_RS01330,233394,234281,+,BSU_02320
NZ_CP015975.1,A8O17_RS01335,234481,235449,+,BSU_02330
NZ_CP015975.1,A8O17_RS01340,235485,236729,-,BSU_02340
NZ_CP015975.1,A8O17_RS01345,236874,238769,-,BSU_02350
NZ_CP015975.1,A8O17_RS01350,238790,239539,-,BSU_02360
NZ_CP015975.1,A8O17_RS01355,239758,240465,+,BSU_02370
NZ_CP015975.1,A8O17_RS01360,240499,240774,+,BSU_02380
NZ_CP015975.1,A8O17_RS01365,240983,242053,+,BSU_02390
NZ_CP015975.1,A8O17_RS01370,242090,243502,-,BSU_02400
NZ_CP015975.1,A8O17_RS01375,243623,244570,-,BSU_02410
NZ_CP015975.1,A8O17_RS01380,244574,244687,+,new_261536_261647_c
NZ_CP015975.1,A8O17_RS01385,244699,246135,-,BSU_02420
NZ_CP015975.1,A8O17_RS01390,246158,247141,-,BSU_02430
NZ_CP015975.1,A8O17_RS01395,247443,248675,+,BSU_02440
NZ_CP015975.1,A8O17_RS01400,248686,249630,+,BSU_02450
NZ_CP015975.1,A8O17_RS01405,249857,250783,+,BSU_02460
NZ_CP015975.1,A8O17_RS01410,250813,252279,+,BSU_02470
NZ_CP015975.1,A8O17_RS01415,252363,253730,+,BSU_02480
NZ_CP015975.1,A8O17_RS01420,253767,255134,+,BSU_02490
NZ_CP015975.1,A8O17_RS01425,255204,255905,+,BSU_02500
NZ_CP015975.1,A8O17_RS01430,255996,257528,+,BSU_02510
NZ_CP015975.1,A8O17_RS01435,257805,258725,+,BSU_02520
NZ_CP015975.1,A8O17_RS01440,259127,259288,+,BSU_02530
NZ_CP015975.1,A8O17_RS01445,259309,260247,+,BSU_02540
NZ_CP015975.1,A8O17_RS01450,260344,261024,+,BSU_02550
NZ_CP015975.1,A8O17_RS01455,261026,261961,+,BSU_02560
NZ_CP015975.1,A8O17_RS01460,262053,262976,+,BSU_02570
NZ_CP015975.1,A8O17_RS01465,262995,263681,+,BSU_02580
NZ_CP015975.1,A8O17_RS20765,263642,263776,-,BSU_02585
NZ_CP015975.1,A8O17_RS01470,263736,264122,-,BSU_02590
NZ_CP015975.1,A8O17_RS01480,264436,264864,+,BSU_02600
NZ_CP015975.1,A8O17_RS01485,264970,265701,+,BSU_02610
NZ_CP015975.1,A8O17_RS01490,265783,265959,+,BSU_02619
NZ_CP015975.1,A8O17_RS01495,265978,267729,+,BSU_02620
NZ_CP015975.1,A8O17_RS01500,267742,267954,+,BSU_02630
NZ_CP015975.1,A8O17_RS01505,268015,268743,+,BSU_02640
NZ_CP015975.1,A8O17_RS01510,268740,269387,-,BSU_02650
NZ_CP015975.1,A8O17_RS01515,269466,270578,+,BSU_02660
NZ_CP015975.1,A8O17_RS01520,270620,272059,-,BSU_02670
NZ_CP015975.1,A8O17_RS01525,272099,272665,-,BSU_02680
NZ_CP015975.1,A8O17_RS01530,272882,274009,+,BSU_02690
NZ_CP015975.1,A8O17_RS01535,274172,274810,+,BSU_02700
NZ_CP015975.1,A8O17_RS01540,274848,275231,-,BSU_02710
NZ_CP015975.1,A8O17_RS01545,275466,276542,+,BSU_02720
NZ_CP015975.1,A8O17_RS01550,276582,277538,-,BSU_02730
NZ_CP015975.1,A8O17_RS01555,277551,278252,-,BSU_02740
NZ_CP015975.1,A8O17_RS01560,278396,279136,+,BSU_02750
NZ_CP015975.1,A8O17_RS01565,279137,280297,+,BSU_02760
NZ_CP015975.1,A8O17_RS01570,280433,281365,+,BSU_02770
NZ_CP015975.1,A8O17_RS01575,281405,282469,-,BSU_02780
NZ_CP015975.1,A8O17_RS20770,282492,282623,-,BSU_02785
NZ_CP015975.1,A8O17_RS01580,282797,284215,+,BSU_02790
NZ_CP015975.1,A8O17_RS01585,284402,285763,+,BSU_02800
NZ_CP015975.1,A8O17_RS01590,285771,286274,-,BSU_02810
NZ_CP015975.1,A8O17_RS01595,286397,287518,+,BSU_02820
NZ_CP015975.1,A8O17_RS01600,287625,288401,+,BSU_02830
NZ_CP015975.1,A8O17_RS01605,288426,290111,+,BSU_02840
NZ_CP015975.1,A8O17_RS01610,290299,291258,+,BSU_02850
NZ_CP015975.1,A8O17_RS01615,291314,292009,+,BSU_02860
NZ_CP015975.1,A8O17_RS01620,291967,292809,+,BSU_02870
NZ_CP015975.1,A8O17_RS01625,292847,293842,-,BSU_02880
NZ_CP015975.1,A8O17_RS01630,294126,294725,+,BSU_02890
NZ_CP015975.1,A8O17_RS01635,294747,295328,+,BSU_02900
NZ_CP015975.1,A8O17_RS01640,295363,295941,+,BSU_02910
NZ_CP015975.1,A8O17_RS01645,295992,296765,+,BSU_02920
NZ_CP015975.1,A8O17_RS01650,296850,298463,+,BSU_02930
NZ_CP015975.1,A8O17_RS01655,298479,299570,+,BSU_02940
NZ_CP015975.1,A8O17_RS01660,299692,300894,+,BSU_02950
NZ_CP015975.1,A8O17_RS01665,301147,302319,-,BSU_02960
NZ_CP015975.1,A8O17_RS01670,302388,302690,-,BSU_02970
NZ_CP015975.1,A8O17_RS01675,302980,304236,+,BSU_02980
NZ_CP015975.1,A8O17_RS01680,304238,305086,+,BSU_02990
NZ_CP015975.1,A8O17_RS01685,305086,305967,+,BSU_03000
NZ_CP015975.1,A8O17_RS01690,306005,307156,-,BSU_03010
NZ_CP015975.1,A8O17_RS01695,307306,308739,+,BSU_03020
NZ_CP015975.1,A8O17_RS01705,308855,309436,+,BSU_03030
NZ_CP015975.1,A8O17_RS01710,309585,311564,+,BSU_03040
NZ_CP015975.1,A8O17_RS01715,311741,312706,+,BSU_03050
NZ_CP015975.1,A8O17_RS01720,312738,314363,+,BSU_03060
NZ_CP015975.1,A8O17_RS01725,314408,315946,-,BSU_03070
NZ_CP015975.1,A8O17_RS01730,316059,316523,+,BSU_03080
NZ_CP015975.1,A8O17_RS01735,316597,317226,+,BSU_03090
NZ_CP015975.1,A8O17_RS01740,317296,318057,+,BSU_03100
NZ_CP015975.1,A8O17_RS01745,318059,319399,-,BSU_03110
NZ_CP015975.1,A8O17_RS01750,319529,320125,+,BSU_03120
NZ_CP015975.1,A8O17_RS01755,320255,321073,+,BSU_03130
NZ_CP015975.1,A8O17_RS01760,321123,321716,-,BSU_03140
NZ_CP015975.1,A8O17_RS01765,321992,322552,+,BSU_03150
NZ_CP015975.1,A8O17_RS01770,322580,323341,-,BSU_03160
NZ_CP015975.1,A8O17_RS01775,323459,324433,+,BSU_03170
NZ_CP015975.1,A8O17_RS01780,324505,325461,+,BSU_03180
NZ_CP015975.1,A8O17_RS01785,325545,326327,+,BSU_03190
NZ_CP015975.1,A8O17_RS01790,326518,327429,+,BSU_03200
NZ_CP015975.1,A8O17_RS01795,327446,328993,+,BSU_03210
NZ_CP015975.1,A8O17_RS01800,329084,330538,+,BSU_03220
NZ_CP015975.1,A8O17_RS01805,330691,331926,+,BSU_03230
NZ_CP015975.1,A8O17_RS01810,331963,332820,-,BSU_03240
NZ_CP015975.1,A8O17_RS01815,332825,333709,-,BSU_03250
NZ_CP015975.1,A8O17_RS01820,333809,334663,-,BSU_03260
NZ_CP015975.1,A8O17_RS01825,334825,335835,+,BSU_03270
NZ_CP015975.1,A8O17_RS01830,335867,337318,-,BSU_03280
NZ_CP015975.1,A8O17_RS01835,337379,337699,-,BSU_03290
NZ_CP015975.1,A8O17_RS01840,337731,340148,-,BSU_03300
NZ_CP015975.1,A8O17_RS01845,340270,342402,-,BSU_03310
NZ_CP015975.1,A8O17_RS01850,342409,344724,-,BSU_03320
NZ_CP015975.1,A8O17_RS01855,344904,346109,+,BSU_03330
NZ_CP015975.1,A8O17_RS01860,346226,347140,+,BSU_03340
NZ_CP015975.1,A8O17_RS01865,347137,347721,+,BSU_03350
NZ_CP015975.1,A8O17_RS01870,347817,348002,+,BSU_03359
NZ_CP015975.1,A8O17_RS01875,348030,349223,+,BSU_03360
NZ_CP015975.1,A8O17_RS01880,349272,349952,-,BSU_03370
NZ_CP015975.1,A8O17_RS01885,349962,350825,-,BSU_03380
NZ_CP015975.1,A8O17_RS20775,350987,351184,+,BSU_03385
NZ_CP015975.1,A8O17_RS01895,351203,351658,+,BSU_03390
NZ_CP015975.1,A8O17_RS01900,351740,352072,+,BSU_03400
NZ_CP015975.1,A8O17_RS01905,352226,353659,+,BSU_03410
NZ_CP015975.1,A8O17_RS01910,353696,354094,-,BSU_03420
NZ_CP015975.1,A8O17_RS01915,354121,354570,-,BSU_03430
NZ_CP015975.1,A8O17_RS01920,354738,356459,-,BSU_03440
NZ_CP015975.1,A8O17_RS01925,356570,357127,-,BSU_03450
NZ_CP015975.1,A8O17_RS01930,357133,357765,-,BSU_03460
NZ_CP015975.1,A8O17_RS01935,357999,358361,+,BSU_03470
NZ_CP015975.1,A8O17_RS01945,358935,369698,+,BSU_03480
NZ_CP015975.1,A8O17_RS01950,369711,380462,+,BSU_03490
NZ_CP015975.1,A8O17_RS01955,380499,384326,+,BSU_03510
NZ_CP015975.1,A8O17_RS01960,384355,385083,+,BSU_03520
NZ_CP015975.1,A8O17_RS01965,385184,386410,+,BSU_03530
NZ_CP015975.1,A8O17_RS01970,386425,386982,-,BSU_03540
NZ_CP015975.1,A8O17_RS01975,387036,387974,-,BSU_03550
NZ_CP015975.1,A8O17_RS01980,388098,389432,+,BSU_03560
NZ_CP015975.1,A8O17_RS01985,389427,390102,-,BSU_03570
NZ_CP015975.1,A8O17_RS01990,390207,390854,-,BSU_03580
NZ_CP015975.1,A8O17_RS01995,391175,391918,-,BSU_03590
NZ_CP015975.1,A8O17_RS02000,391932,392636,-,BSU_03600
NZ_CP015975.1,A8O17_RS02005,392623,393429,-,BSU_03610
NZ_CP015975.1,A8O17_RS02010,393545,394417,-,BSU_03620
NZ_CP015975.1,A8O17_RS02015,394507,395121,+,BSU_03630
NZ_CP015975.1,A8O17_RS02020,395124,396545,+,BSU_03640
NZ_CP015975.1,A8O17_RS02025,396562,396789,+,BSU_03651
NZ_CP015975.1,A8O17_RS02030,396786,397250,+,BSU_03652
NZ_CP015975.1,A8O17_RS02035,397317,398162,+,BSU_03660
NZ_CP015975.1,A8O17_RS02040,398202,399680,-,BSU_03670
NZ_CP015975.1,A8O17_RS02045,399960,401714,+,BSU_03680
NZ_CP015975.1,A8O17_RS02050,401730,401951,-,BSU_03690
NZ_CP015975.1,A8O17_RS02055,402077,403711,+,BSU_03700
NZ_CP015975.1,A8O17_RS02060,403701,404924,+,BSU_03710
NZ_CP015975.1,A8O17_RS02065,404949,406070,+,BSU_03720
NZ_CP015975.1,A8O17_RS02070,406175,406855,-,BSU_03730
NZ_CP015975.1,A8O17_RS02075,406871,408331,-,BSU_03740
NZ_CP015975.1,A8O17_RS02080,408544,409227,+,BSU_03750
NZ_CP015975.1,A8O17_RS02085,409214,410635,+,BSU_03760
NZ_CP015975.1,A8O17_RS02090,410798,411946,+,BSU_03770
NZ_CP015975.1,A8O17_RS02095,411930,412052,+,BSU_03780
NZ_CP015975.1,A8O17_RS20345,412152,412241,-,BSU_03788
NZ_CP015975.1,A8O17_RS02100,412323,412436,-,BSU_03789
NZ_CP015975.1,A8O17_RS02105,412590,413954,-,BSU_03790
NZ_CP015975.1,A8O17_RS02110,414339,415289,+,BSU_03800
NZ_CP015975.1,A8O17_RS02115,415282,416229,+,BSU_03810
NZ_CP015975.1,A8O17_RS02120,416223,416981,+,BSU_03820
NZ_CP015975.1,A8O17_RS02125,417003,417956,+,BSU_03830
NZ_CP015975.1,A8O17_RS02130,418003,419421,-,BSU_03840
NZ_CP015975.1,A8O17_RS02135,419441,420319,-,BSU_03850
NZ_CP015975.1,A8O17_RS02140,420483,421232,-,BSU_03860
NZ_CP015975.1,A8O17_RS02145,421249,421536,-,BSU_03870
NZ_CP015975.1,A8O17_RS02150,421676,421990,+,BSU_03880
NZ_CP015975.1,A8O17_RS02155,421992,423431,-,BSU_03890
NZ_CP015975.1,A8O17_RS02160,423538,424848,+,BSU_03900
NZ_CP015975.1,A8O17_RS02165,424917,426305,+,BSU_03910
NZ_CP015975.1,A8O17_RS02170,426428,427291,+,BSU_03920
NZ_CP015975.1,A8O17_RS02175,427311,428096,+,BSU_03930
NZ_CP015975.1,A8O17_RS02180,428141,428755,-,BSU_03940
NZ_CP015975.1,A8O17_RS02185,428768,430393,-,BSU_03950
NZ_CP015975.1,A8O17_RS02190,430428,431000,-,BSU_03960
